name,slug,address,city,state,zip,phone,hours,rating,reviews,website,services,featured,,,,,
Freeway Towing & Storage,2801 W Weldon Ave,Phoenix,AZ,85017,1 602-362-9621,https://phoenixtowtruck.com/24-hour-towing-services-in-north-phoenix-az/%3Futm_campaign%3Dgmb_north_phoenix,4.7,1046,"[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]",33.4907951,-112.1192016
Professional Towing & Recovery,1155 E Curry Rd,Tempe,AZ,85288,1 480-797-9922,https://www.protowingaz.com/%3Futm_source%3Domg-gbp%26utm_medium%3Dwebclick,4.8,328,"[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]",33.4393959,-111.9204711
BD'AZ Heavy Duty Towing & Heavy Recovery,16080 W Poinsettia Dr,Surprise,AZ,85379,1 623-505-6644,https://www.bdaztowing.com/%3Futm_source%3Domg-gbp%26utm_medium%3Dwebclick,4.7,222,"[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]",33.5924032,-112.4053279
"Arizona Boyz Towing and Transport, LLC",,,,,1 480-649-2900,https://www.arizonaboyztowing.com/%3Futm_source%3Domg-gbp%26utm_medium%3Dwebclick,5,334,"[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]",33.36732,-112.080289
Gruas Sonic Towing Service LLC,7220 W Monte Vista Rd,Phoenix,AZ,85035,1 602-767-2418,http://gruasonictowing.com/,4.9,61,"[""6AM-10PM""]","[""6AM-10PM""]","[""6AM-10PM""]","[""6AM-10PM""]","[""6AM-10PM""]","[""6AM-10PM""]","[""6AM-10PM""]",33.4707152,-112.2151858
AZ Rescue Towing,4212 N 64th Dr,Phoenix,AZ,85033,1 623-889-4420,http://tow4-45.com/,4.8,84,"[""8AM-6PM""]","[""8AM-6PM""]","[""8AM-6PM""]","[""8AM-6PM""]","[""8AM-6PM""]","[""9AM-3PM""]","[""Closed""]",33.4976752,-112.1982103
Priority Towing Service,3242 S 36th St #2,Phoenix,AZ,85040,1 602-232-6006,https://prioritytow.com/,4.6,833,"[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]",33.4168927,-112.0043733
Westgate Towing,,,,,1 602-481-9346,,4.4,105,,,,,,,,33.4707605,-112.2969974
Hollywood Towing,16074 N 78th St #102,Scottsdale,AZ,85260,1 480-665-8155,https://www.hollywoodtowingaz.com/,5,709,"[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]",33.6317848,-111.913774
Quik Pik Towing,1966 E Deer Valley Dr,Phoenix,AZ,85024,1 602-993-4874,https://quikpiktowing.com/,4.5,2661,"[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]",33.6879206,-112.040816
Old Town Scottsdale Towing,6895 E Camelback Rd,Scottsdale,AZ,85251,1 480-645-6265,https://oldtowntowing.com/,4.8,155,"[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]","[""Closed""]",33.5011489,-111.934326
Delta Towing,,,,,1 602-451-4763,https://www.greenlighttowing.com/,4.6,20,"[""7AM-10PM""]","[""7AM-10PM""]","[""7AM-10PM""]","[""7AM-10PM""]","[""7AM-10PM""]","[""8AM-5PM""]","[""8AM-5PM""]",33.466465,-112.037355
E-Z Towing & Recovery,901 E Riley Dr,Avondale,AZ,85323,1 623-932-2525,https://eztowingaz.com/,4.4,90,"[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]",33.4385974,-112.3392129
Vigilant Towing & Impound,3523 W Salter Dr,Glendale,AZ,85308,1 623-440-7360,https://www.vigilantimpound.com/%3Futm_source%3Domg-gbp%26utm_medium%3Dwebclick,4.9,678,"[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]",33.6818611,-112.1364139
Valley Wide Towing,,,,,1 623-238-3428,https://www.azvalleywidetowing.com/,4.9,162,"[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]",33.6043256,-112.193537
Roadside Services Towing of NWA,709 Harris St,Springdale,AR,72764,1 479-777-4599,http://roadsideservicestowing.com/springdale-tow-truck/,4.7,,,,,,"[""Open 24 hours""]",,,36.1907108,-94.1365442
My City Towing and Recovery LLC,1515 E 46th St,North Little Rock,AR,72117,1 501-672-1993,http://www.towinginnorthlittlerockar.com/,4.8,,,,,,"[""Open 24 hours""]",,,34.7958105,-92.1869482
Central Arkansas Towing,1125 Jims Ln,Conway,AR,72032,1 501-329-7272,http://www.centralarkansastowing.com/,3.4,,,,,,"[""Open 24 hours""]",,,35.093293,-92.4109808
Roadside Services Towing of NWA,111E E Linden St,Rogers,AR,72756,1 479-234-4245,https://roadsideservicestowing.com/rogers,4.9,,,,,,"[""Open 24 hours""]",,,36.3135781,-94.1161677
Asher Wrecker & Recovery,5909 S University Ave,Little Rock,AR,72209,1 501-294-6142,https://www.asherwrecker.com/,3.9,,,,,,"[""Open 24 hours""]",,,34.6959154,-92.3455138
O'Dell Towing and Roadside,3645 Ferren Trail,Searcy,AR,72143,1 501-278-4400,http://www.odelltowing.com/,4.9,,,,,,"[""Open 24 hours""]",,,35.2524378,-91.6875587
365 Towing and Recovery,10604 MacArthur Dr,North Little Rock,AR,72118,1 501-902-4869,https://www.365towing-recovery.com/,4.7,,,,,,"[""Open 24 hours""]",,,34.8374827,-92.333709
"1st Response Towing & Rescue, LLC",2210 S School Ave,Fayetteville,AR,72701,1 479-200-2135,https://tow1st.com/%3Futm_source%3Domg-gbp%26utm_medium%3Dwebclick,4.8,,,,,,"[""Open 24 hours""]",,,36.0404976,-94.1655375
501 Towing & Roadside,600 S East St,Benton,AR,72015,1 501-451-2151,https://fiveoonetowing.com/,3.5,,,,,,"[""Open 24 hours""]",,,34.5581712,-92.585187
Broadway Towing & Recovery,1918 W Broadway St,Morrilton,AR,72110,1 501-208-1597,http://broadwaytowingrecovery.com/,4.9,,,,,,"[""Open 24 hours""]",,,35.1639411,-92.763542
NWA Towing & Recovery,1742 N College Ave,Fayetteville,AR,72703,1 479-966-4869,https://nwatow.com/%3Futm_source%3Domg-gbp%26utm_medium%3Dwebclick,3.7,,,,,,"[""8AM-4PM""]",,,36.0850493,-94.1550355
Complete Towing LLC,596 W Sycamore St,Fayetteville,AR,72703,1 479-587-0773,http://www.completetowingllc.net/contact.html,3.2,,,,,,"[""Open 24 hours""]",,,36.0849382,-94.1661252
Humble Towing,14914 Chicot Rd,Mabelvale,AR,72103,1 501-952-9650,,4.1,,,,,,"[""7AM-5PM""]",,,34.6126223,-92.3652757
Towed Recovery,9 Sue Ln,Conway,AR,72032,1 501-514-1495,,4.8,,,,,,"[""Open 24 hours""]",,,35.084583,-92.3207179
DD Towing & Recovery,4596 Highway 463 S,Jonesboro,AR,72404,1 870-935-0900,http://ddtowingandrecovery.com/,4.8,,,,,,"[""Open 24 hours""]",,,35.7727112,-90.598814
A-State Towing & Recovery,729 AR-247,Morrilton,AR,72110,1 501-697-6035,https://astatetowingandrecovery.com/,4.8,,,,,,"[""Open 24 hours""]",,,35.1800418,-92.7357141
Towmator Towing Service,2700 Shiloh Rd,Searcy,AR,72143,1 501-388-5082,,5,,,,,,"[""Open 24 hours""]",,,35.2279167,-91.7063114
East End Towing,14721 Ironton Rd,Little Rock,AR,72206,1 501-888-8849,https://eastendtowing.com/%3Futm_source%3Domg-gbp%26utm_medium%3Dwebclick,4.5,,,,,,"[""Open 24 hours""]",,,34.6199216,-92.2787787
Jacksonville Tow & Recovery,304 E Main St,Jacksonville,AR,72076,1 501-982-4128,https://www.jacksonvilletow.net/,4.4,,,,,,"[""Open 24 hours""]",,,34.864569,-92.108512
California Towing & Transport,445 Espinosa Rd,Salinas,CA,93907,1 831-422-7944,https://www.californiatowing.net/%3Futm_source%3Domg-gbp%26utm_medium%3Dwebclick,3.6,,,,,,"[""Open 24 hours""]",,,36.7357677,-121.6596137
California Towing & Recovery,575 E Mission Rd,San Marcos,CA,92069,1 760-260-9553,https://cdtowing.com/,4.3,,,,,,"[""Open 24 hours""]",,,33.144656,-117.1497359
Salinas Towing,212 S Uruapan Way,Dinuba,CA,93618,1 559-595-9337,,4.6,,,,,,"[""8AM-5PM""]",,,36.5383269,-119.3908508
Roy's Towing,1344 E Thousand Oaks Blvd,Thousand Oaks,CA,91362,1 805-371-4330,http://www.roystowing.com/,4.1,,,,,,"[""Open 24 hours""]",,,34.1769717,-118.8560464
All City Tow Service,5832 W Adams Blvd,Culver City,CA,90232,1 323-934-0404,https://www.allcitytowservices.com/,2.3,,,,,,"[""8AM-5PM""]",,,34.0322698,-118.3712287
California Towing & Transport,9700 Holton Way,Redding,CA,96003,1 530-224-0911,https://towredding.com/,4,,,,,,"[""Open 24 hours""]",,,40.571516,-122.3204529
G.S. California Towing Inc.,2202 W 5th St,Santa Ana,CA,92703,1 714-558-7645,https://gscaliforniatowing.com/%3Futm_source%3Domg-gbp%26utm_medium%3Dwebclick,3.1,,,,,,"[""8AM-5PM""]",,,33.7484521,-117.8978377
Preferred Towing,7831 Willow Ave,California City,CA,93505,1 661-775-1500,http://www.preferredtow.com/,3.4,,,,,,"[""Open 24 hours""]",,,35.1056671,-117.9864807
California Roadside Service,1426 S Allec St,Anaheim,CA,92805,1 714-989-7030,https://www.californiaroadside.com/,3.2,,,,,,"[""Open 24 hours""]",,,33.812332,-117.898545
Michael’s Central Valley Towing,94 Academy Ave,Sanger,CA,93657,1 559-875-7590,,4,,,,,,"[""Open 24 hours""]",,,36.708006,-119.5559652
Cal-State Towing Services,16923 9th St Suite C,Huron,CA,93234,1 559-945-9262,,4.5,,,,,,"[""Open 24 hours""]",,,36.2025093,-120.101718
J&D/Joshua's Towing,1209 Milham Ave,Kettleman City,CA,93239,1 559-386-5121,https://janddjoshuastowing.com/%3Futm_source%3Domg-gbp%26utm_medium%3Dwebclick,4.4,,,,,,"[""Open 24 hours""]",,,36.0105743,-119.9581764
Unique Auto Exhaust & Towing,559 8th St,Orange Cove,CA,93646,,,4,,,,,,,,,36.6249991,-119.3153377
Avenal Towing,265 E Tulare St,Avenal,CA,93204,1 559-386-5000,,4.4,,,,,,"[""Open 24 hours""]",,,36.0018426,-120.1350373
Ibarra’s Towing,,,,,1 661-440-3902,,5,,,,,,"[""Open 24 hours""]",,,35.0250785,-117.26682
S & M Towing LLC,2207 E Hillcrest Ave,Visalia,CA,93292,1 559-909-7926,,5,,,,,,"[""Open 24 hours""]",,,36.314143,-119.2683384
Duenas Towing,3135 E Mono Ave,Fresno,CA,93702,1 559-681-3098,http://duenastowingservice.com/,5,,,,,,"[""Open 24 hours""]",,,36.7372467,-119.7717075
New Valley Towing,8298 E Dinuba Ave,Selma,CA,93662,1 559-666-0286,http://www.newvalleytowing.com/,4.7,,,,,,"[""Open 24 hours""]",,,36.5917972,-119.6406712
Contreras & Son's Towing,,,,,1 559-790-2778,,5,,,,,,"[""Open 24 hours""]",,,36.786849,-119.792453
Active Towing,1810 13th St Suite 10,Reedley,CA,93654,1 559-643-0911,,4.7,,,,,,"[""Open 24 hours""]",,,36.5933466,-119.449924
4 A COLORADO TOWING LLC,238 N Main St,Brighton,CO,80601,1 720-755-2717,https://www.4acoloradotowing.com/,5,190,"[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]",39.9901646,-104.8202171
24 Hours Roadside Towing Centennial,,,,,1 720-704-0030,,4.9,330,"[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]",39.5489249,-104.941753
Dad's Towing and Recovery - Idaho Springs,268 Stanley Rd Unit B,Idaho Springs,CO,80452,1 970-231-0654,https://dadstow.com/%3Futm_source%3Domg-gbp%26utm_medium%3Dwebclick,4.9,187,"[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]",39.7443744,-105.5395491
John's Towing Service,3280 Chambers Rd,Aurora,CO,80011,1 303-360-0810,https://www.johnstowingservice.com/,4.8,2232,"[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]",39.7632406,-104.8094393
24 Hours Roadside Towing Castle Rock,,,,,1 720-738-5444,,4.8,106,"[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]",39.0280725,-104.7376931
Colorado Mountain Towing,330 Warren Ave Unit B,Silverthorne,CO,80498,1 970-877-7777,http://www.coloradomountaintowing.com/,5,118,"[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]",39.6303168,-106.0779335
24/7 Towing & Recovery,2 Quitman St,Denver,CO,80219,1 720-502-1676,https://www.denvertowingandrecovery.com/,4.9,63,"[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]",39.7167504,-105.0406447
24 Hours Roadside Towing,,,,,1 720-500-6717,https://centraliatowing.com/,4.8,156,"[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]",39.68888,-104.5068714
24 Hours Roadside Towing Parker,,,,,1 720-706-8090,,5,30,"[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]",39.2604246,-104.6909411
Villalobos Towing LLC,5161 York St,Denver,CO,80216,1 720-299-3456,http://villalobostowingllc.com/,4.9,595,"[""7AM-7PM""]","[""7AM-7PM""]","[""7AM-7PM""]","[""7AM-7PM""]","[""7AM-7PM""]","[""9AM-3PM""]","[""Closed""]",39.7906927,-104.9594699
Randy's High Country Towing,1205 E Las Vegas St,Colorado Springs,CO,80903,1 719-596-6067,https://www.facebook.com/randyshighcountrytowing/,4.3,400,"[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]",38.8117798,-104.8034077
Ryan's Recovery,198 Continental Ct,Breckenridge,CO,80424,1 970-453-1388,http://www.ryansrecovery.com/,4.9,605,"[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]",39.5128784,-106.053276
Mountain Recovery,290 Warren Ave,Silverthorne,CO,80498,1 970-476-1124,https://mountainrecovery.com/silverthorne-towing,4.6,416,"[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]",39.6292153,-106.0773823
Lucks Unlimited Towing,"10465 Melody Dr Northglenn, CO 80234 United States 8312 Acoma Way Denver, CO 80221 United States 10650 Irma Dr Northglenn, CO 80233 United States 664 W Thornton Pkwy Thornton, CO 80260 United States 460 E 120th Ave Northglenn, CO 80233",Thornton,CO,80260,1 720-618-6135,https://luckstowing.com/,5,54,"[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]","[""Open 24 hours""]",39.8862851,-104.9938093
